metier,present,dans_cdc,types,chemins
crypto,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/crypto; Dihya/frontend/src/components/metiers/crypto/index.js; Dihya/frontend/src/tests/integration/crypto; Dihya/frontend/src/tests/integration/crypto/test_crypto.js; Dihya/frontend/src/generation/templates/crypto; Dihya/frontend/src/generation/templates/crypto/template.js; Dihya/backend/tests/integration/crypto; Dihya/backend/tests/integration/crypto/test_crypto_backend.py; Dihya/backend/django/tests/integration/crypto; Dihya/backend/django/tests/integration/crypto/test_crypto_django.py; Dihya/backend/django/app/tests/integration/crypto; Dihya/backend/django/app/tests/integration/crypto/test_crypto_django.py; Dihya/backend/django/app/templates/crypto; Dihya/backend/django/app/templates/crypto/template.py; Dihya/backend/django/app/routes/crypto; Dihya/backend/django/app/routes/crypto/routes.py; Dihya/backend/django/routes/crypto; Dihya/backend/django/routes/crypto/routes.py; Dihya/backend/flask/tests/integration/crypto; Dihya/backend/flask/tests/integration/crypto/test_crypto_flask.py; Dihya/backend/flask/app/tests/integration/crypto; Dihya/backend/flask/app/tests/integration/crypto/test_crypto_flask.py; Dihya/backend/flask/app/templates/crypto; Dihya/backend/flask/app/templates/crypto/template.py; Dihya/backend/flask/app/routes/crypto; Dihya/backend/flask/app/routes/crypto/routes.py; Dihya/backend/flask/routes/crypto; Dihya/backend/flask/routes/crypto/routes.py; Dihya/backend/routes/crypto; Dihya/backend/routes/crypto/routes.py; Dihya/backend/node/tests/integration/crypto; Dihya/backend/node/tests/integration/crypto/test_crypto.js; Dihya/backend/node/app/tests/integration/crypto; Dihya/backend/node/app/tests/integration/crypto/test_crypto.js; Dihya/backend/node/app/templates/crypto; Dihya/backend/node/app/templates/crypto/template.js; Dihya/backend/node/app/routes/crypto; Dihya/backend/node/app/routes/crypto/routes.js; Dihya/backend/node/routes/crypto; Dihya/backend/node/routes/crypto/routes.js; Dihya/docs/metiers/crypto.md; src/components/metiers/crypto; src/components/metiers/crypto/index.js; src/generation/templates/crypto; src/generation/templates/crypto/template.js; docs/metiers/crypto.md
culture,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/culture; Dihya/frontend/src/components/metiers/culture/index.js; Dihya/frontend/src/tests/integration/culture; Dihya/frontend/src/tests/integration/culture/test_culture.js; Dihya/frontend/src/generation/templates/culture; Dihya/frontend/src/generation/templates/culture/template.js; Dihya/backend/tests/integration/culture; Dihya/backend/tests/integration/culture/test_culture_backend.py; Dihya/backend/django/tests/integration/culture; Dihya/backend/django/tests/integration/culture/test_culture_django.py; Dihya/backend/django/app/tests/integration/culture; Dihya/backend/django/app/tests/integration/culture/test_culture_django.py; Dihya/backend/django/app/templates/culture; Dihya/backend/django/app/templates/culture/template.py; Dihya/backend/django/app/routes/culture; Dihya/backend/django/app/routes/culture/routes.py; Dihya/backend/django/routes/culture; Dihya/backend/django/routes/culture/routes.py; Dihya/backend/flask/tests/integration/culture; Dihya/backend/flask/tests/integration/culture/test_culture_flask.py; Dihya/backend/flask/app/tests/integration/culture; Dihya/backend/flask/app/tests/integration/culture/test_culture_flask.py; Dihya/backend/flask/app/templates/culture; Dihya/backend/flask/app/templates/culture/template.py; Dihya/backend/flask/app/routes/culture; Dihya/backend/flask/app/routes/culture/routes.py; Dihya/backend/flask/routes/culture; Dihya/backend/flask/routes/culture/routes.py; Dihya/backend/routes/culture; Dihya/backend/routes/culture/routes.py; Dihya/backend/node/tests/integration/culture; Dihya/backend/node/tests/integration/culture/test_culture.js; Dihya/backend/node/app/tests/integration/culture; Dihya/backend/node/app/tests/integration/culture/test_culture.js; Dihya/backend/node/app/templates/culture; Dihya/backend/node/app/templates/culture/template.js; Dihya/backend/node/app/routes/culture; Dihya/backend/node/app/routes/culture/routes.js; Dihya/backend/node/routes/culture; Dihya/backend/node/routes/culture/routes.js; Dihya/docs/metiers/culture.md; src/components/metiers/culture; src/components/metiers/culture/index.js; src/generation/templates/culture; src/generation/templates/culture/template.js; docs/metiers/culture.md
devops,oui,non,"dossier,template",Dihya/frontend/src/generation/templates/devops; Dihya/frontend/src/generation/templates/devops/template.js
ecommerce,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/ecommerce; Dihya/frontend/src/components/metiers/ecommerce/index.js; Dihya/frontend/src/tests/integration/ecommerce; Dihya/frontend/src/tests/integration/ecommerce/test_ecommerce.js; Dihya/frontend/src/generation/templates/ecommerce; Dihya/frontend/src/generation/templates/ecommerce/template.js; Dihya/backend/tests/integration/ecommerce; Dihya/backend/tests/integration/ecommerce/test_ecommerce_backend.py; Dihya/backend/django/tests/integration/ecommerce; Dihya/backend/django/tests/integration/ecommerce/test_ecommerce_django.py; Dihya/backend/django/app/tests/integration/ecommerce; Dihya/backend/django/app/tests/integration/ecommerce/test_ecommerce_django.py; Dihya/backend/django/app/templates/ecommerce; Dihya/backend/django/app/templates/ecommerce/template.py; Dihya/backend/django/app/routes/ecommerce; Dihya/backend/django/app/routes/ecommerce/routes.py; Dihya/backend/django/routes/ecommerce; Dihya/backend/django/routes/ecommerce/routes.py; Dihya/backend/flask/tests/integration/ecommerce; Dihya/backend/flask/tests/integration/ecommerce/test_ecommerce_flask.py; Dihya/backend/flask/app/tests/integration/ecommerce; Dihya/backend/flask/app/tests/integration/ecommerce/test_ecommerce_flask.py; Dihya/backend/flask/app/templates/ecommerce; Dihya/backend/flask/app/templates/ecommerce/template.py; Dihya/backend/flask/app/routes/ecommerce; Dihya/backend/flask/app/routes/ecommerce/routes.py; Dihya/backend/flask/routes/ecommerce; Dihya/backend/flask/routes/ecommerce/routes.py; Dihya/backend/routes/ecommerce; Dihya/backend/routes/ecommerce/routes.py; Dihya/backend/node/tests/integration/ecommerce; Dihya/backend/node/tests/integration/ecommerce/test_ecommerce.js; Dihya/backend/node/app/tests/integration/ecommerce; Dihya/backend/node/app/tests/integration/ecommerce/test_ecommerce.js; Dihya/backend/node/app/templates/ecommerce; Dihya/backend/node/app/templates/ecommerce/template.js; Dihya/backend/node/app/routes/ecommerce; Dihya/backend/node/app/routes/ecommerce/routes.js; Dihya/backend/node/routes/ecommerce; Dihya/backend/node/routes/ecommerce/routes.js; Dihya/docs/metiers/ecommerce.md; src/components/metiers/ecommerce; src/components/metiers/ecommerce/index.js; src/generation/templates/ecommerce; src/generation/templates/ecommerce/template.js; docs/metiers/ecommerce.md
education,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/education; Dihya/frontend/src/components/metiers/education/index.js; Dihya/frontend/src/tests/integration/education; Dihya/frontend/src/tests/integration/education/test_education.js; Dihya/frontend/src/generation/templates/education; Dihya/frontend/src/generation/templates/education/template.js; Dihya/backend/tests/integration/education; Dihya/backend/tests/integration/education/test_education_backend.py; Dihya/backend/django/tests/integration/education; Dihya/backend/django/tests/integration/education/test_education_django.py; Dihya/backend/django/app/tests/integration/education; Dihya/backend/django/app/tests/integration/education/test_education_django.py; Dihya/backend/django/app/templates/education; Dihya/backend/django/app/templates/education/template.py; Dihya/backend/django/app/routes/education; Dihya/backend/django/app/routes/education/routes.py; Dihya/backend/django/routes/education; Dihya/backend/django/routes/education/routes.py; Dihya/backend/flask/tests/integration/education; Dihya/backend/flask/tests/integration/education/test_education_flask.py; Dihya/backend/flask/app/tests/integration/education; Dihya/backend/flask/app/tests/integration/education/test_education_flask.py; Dihya/backend/flask/app/templates/education; Dihya/backend/flask/app/templates/education/template.py; Dihya/backend/flask/app/routes/education; Dihya/backend/flask/app/routes/education/routes.py; Dihya/backend/flask/routes/education; Dihya/backend/flask/routes/education/routes.py; Dihya/backend/routes/education; Dihya/backend/routes/education/routes.py; Dihya/backend/node/tests/integration/education; Dihya/backend/node/tests/integration/education/test_education.js; Dihya/backend/node/app/tests/integration/education; Dihya/backend/node/app/tests/integration/education/test_education.js; Dihya/backend/node/app/templates/education; Dihya/backend/node/app/templates/education/template.js; Dihya/backend/node/app/routes/education; Dihya/backend/node/app/routes/education/routes.js; Dihya/backend/node/routes/education; Dihya/backend/node/routes/education/routes.js; Dihya/docs/metiers/education.md; src/components/metiers/education; src/components/metiers/education/index.js; src/generation/templates/education; src/generation/templates/education/template.js; docs/metiers/education.md
energie,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/energie; Dihya/frontend/src/components/metiers/energie/index.js; Dihya/frontend/src/tests/integration/energie; Dihya/frontend/src/tests/integration/energie/test_energie.js; Dihya/frontend/src/generation/templates/energie; Dihya/frontend/src/generation/templates/energie/template.js; Dihya/backend/tests/integration/energie; Dihya/backend/tests/integration/energie/test_energie_backend.py; Dihya/backend/django/tests/integration/energie; Dihya/backend/django/tests/integration/energie/test_energie_django.py; Dihya/backend/django/app/tests/integration/energie; Dihya/backend/django/app/tests/integration/energie/test_energie_django.py; Dihya/backend/django/app/templates/energie; Dihya/backend/django/app/templates/energie/template.py; Dihya/backend/django/app/routes/energie; Dihya/backend/django/app/routes/energie/routes.py; Dihya/backend/django/routes/energie; Dihya/backend/django/routes/energie/routes.py; Dihya/backend/flask/tests/integration/energie; Dihya/backend/flask/tests/integration/energie/test_energie_flask.py; Dihya/backend/flask/app/tests/integration/energie; Dihya/backend/flask/app/tests/integration/energie/test_energie_flask.py; Dihya/backend/flask/app/templates/energie; Dihya/backend/flask/app/templates/energie/template.py; Dihya/backend/flask/app/routes/energie; Dihya/backend/flask/app/routes/energie/routes.py; Dihya/backend/flask/routes/energie; Dihya/backend/flask/routes/energie/routes.py; Dihya/backend/routes/energie; Dihya/backend/routes/energie/routes.py; Dihya/backend/node/tests/integration/energie; Dihya/backend/node/tests/integration/energie/test_energie.js; Dihya/backend/node/app/tests/integration/energie; Dihya/backend/node/app/tests/integration/energie/test_energie.js; Dihya/backend/node/app/templates/energie; Dihya/backend/node/app/templates/energie/template.js; Dihya/backend/node/app/routes/energie; Dihya/backend/node/app/routes/energie/routes.js; Dihya/backend/node/routes/energie; Dihya/backend/node/routes/energie/routes.js; Dihya/docs/metiers/energie.md; src/components/metiers/energie; src/components/metiers/energie/index.js; src/generation/templates/energie; src/generation/templates/energie/template.js; docs/metiers/energie.md
environnement,oui,non,"dossier,doc",Dihya/frontend/src/components/metiers/environnement; Dihya/frontend/src/tests/integration/environnement; Dihya/frontend/src/generation/templates/environnement; Dihya/backend/tests/integration/environnement; Dihya/backend/django/tests/integration/environnement; Dihya/backend/django/app/tests/integration/environnement; Dihya/backend/django/app/templates/environnement; Dihya/backend/django/app/routes/environnement; Dihya/backend/django/routes/environnement; Dihya/backend/flask/tests/integration/environnement; Dihya/backend/flask/app/tests/integration/environnement; Dihya/backend/flask/app/templates/environnement; Dihya/backend/flask/app/routes/environnement; Dihya/backend/flask/routes/environnement; Dihya/backend/routes/environnement; Dihya/backend/node/tests/integration/environnement; Dihya/backend/node/app/tests/integration/environnement; Dihya/backend/node/app/templates/environnement; Dihya/backend/node/app/routes/environnement; Dihya/backend/node/routes/environnement; Dihya/docs/metiers/environnement.md; src/components/metiers/environnement; src/generation/templates/environnement; docs/metiers/environnement.md
frontend,oui,non,dossier,Dihya/backend/flask/app/templates/health/frontend
gamer,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/gamer; Dihya/frontend/src/components/metiers/gamer/index.js; Dihya/frontend/src/tests/integration/gamer; Dihya/frontend/src/tests/integration/gamer/test_gamer.js; Dihya/frontend/src/generation/templates/gamer; Dihya/frontend/src/generation/templates/gamer/template.js; Dihya/backend/tests/integration/gamer; Dihya/backend/tests/integration/gamer/test_gamer_backend.py; Dihya/backend/django/tests/integration/gamer; Dihya/backend/django/tests/integration/gamer/test_gamer_django.py; Dihya/backend/django/app/tests/integration/gamer; Dihya/backend/django/app/tests/integration/gamer/test_gamer_django.py; Dihya/backend/django/app/templates/gamer; Dihya/backend/django/app/templates/gamer/template.py; Dihya/backend/django/app/routes/gamer; Dihya/backend/django/app/routes/gamer/routes.py; Dihya/backend/django/routes/gamer; Dihya/backend/django/routes/gamer/routes.py; Dihya/backend/flask/tests/integration/gamer; Dihya/backend/flask/tests/integration/gamer/test_gamer_flask.py; Dihya/backend/flask/app/tests/integration/gamer; Dihya/backend/flask/app/tests/integration/gamer/test_gamer_flask.py; Dihya/backend/flask/app/templates/gamer; Dihya/backend/flask/app/templates/gamer/template.py; Dihya/backend/flask/app/routes/gamer; Dihya/backend/flask/app/routes/gamer/routes.py; Dihya/backend/flask/routes/gamer; Dihya/backend/flask/routes/gamer/routes.py; Dihya/backend/routes/gamer; Dihya/backend/routes/gamer/routes.py; Dihya/backend/node/tests/integration/gamer; Dihya/backend/node/tests/integration/gamer/test_gamer.js; Dihya/backend/node/app/tests/integration/gamer; Dihya/backend/node/app/tests/integration/gamer/test_gamer.js; Dihya/backend/node/app/templates/gamer; Dihya/backend/node/app/templates/gamer/template.js; Dihya/backend/node/app/routes/gamer; Dihya/backend/node/app/routes/gamer/routes.js; Dihya/backend/node/routes/gamer; Dihya/backend/node/routes/gamer/routes.js; Dihya/docs/metiers/gamer.md; src/components/metiers/gamer; src/components/metiers/gamer/index.js; src/generation/templates/gamer; src/generation/templates/gamer/template.js; docs/metiers/gamer.md
health,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/health; Dihya/frontend/src/components/metiers/health/index.js; Dihya/frontend/src/tests/integration/health; Dihya/frontend/src/tests/integration/health/test_health.js; Dihya/frontend/src/generation/templates/health; Dihya/frontend/src/generation/templates/health/template.js; Dihya/backend/tests/integration/health; Dihya/backend/tests/integration/health/test_health_backend.py; Dihya/backend/django/tests/integration/health; Dihya/backend/django/tests/integration/health/test_health_django.py; Dihya/backend/django/app/tests/integration/health; Dihya/backend/django/app/tests/integration/health/test_health_django.py; Dihya/backend/django/app/templates/health; Dihya/backend/django/app/templates/health/template.py; Dihya/backend/django/app/routes/health; Dihya/backend/django/app/routes/health/routes.py; Dihya/backend/django/routes/health; Dihya/backend/django/routes/health/routes.py; Dihya/backend/flask/tests/integration/health; Dihya/backend/flask/tests/integration/health/test_health_flask.py; Dihya/backend/flask/app/tests/integration/health; Dihya/backend/flask/app/tests/integration/health/test_health_flask.py; Dihya/backend/flask/app/templates/health; Dihya/backend/flask/app/templates/health/template.py; Dihya/backend/flask/app/routes/health; Dihya/backend/flask/app/routes/health/routes.py; Dihya/backend/flask/routes/health; Dihya/backend/flask/routes/health/routes.py; Dihya/backend/routes/health; Dihya/backend/routes/health/routes.py; Dihya/backend/node/tests/integration/health; Dihya/backend/node/tests/integration/health/test_health.js; Dihya/backend/node/app/tests/integration/health; Dihya/backend/node/app/tests/integration/health/test_health.js; Dihya/backend/node/app/templates/health; Dihya/backend/node/app/templates/health/template.js; Dihya/backend/node/app/routes/health; Dihya/backend/node/app/routes/health/routes.js; Dihya/backend/node/routes/health; Dihya/backend/node/routes/health/routes.js; Dihya/docs/metiers/health.md; src/components/metiers/health; src/components/metiers/health/index.js; src/generation/templates/health; src/generation/templates/health/template.js; docs/metiers/health.md
hotellerie,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/hotellerie; Dihya/frontend/src/components/metiers/hotellerie/index.js; Dihya/frontend/src/tests/integration/hotellerie; Dihya/frontend/src/tests/integration/hotellerie/test_hotellerie.js; Dihya/frontend/src/generation/templates/hotellerie; Dihya/frontend/src/generation/templates/hotellerie/template.js; Dihya/backend/tests/integration/hotellerie; Dihya/backend/tests/integration/hotellerie/test_hotellerie_backend.py; Dihya/backend/django/tests/integration/hotellerie; Dihya/backend/django/tests/integration/hotellerie/test_hotellerie_django.py; Dihya/backend/django/app/tests/integration/hotellerie; Dihya/backend/django/app/tests/integration/hotellerie/test_hotellerie_django.py; Dihya/backend/django/app/templates/hotellerie; Dihya/backend/django/app/templates/hotellerie/template.py; Dihya/backend/django/app/routes/hotellerie; Dihya/backend/django/app/routes/hotellerie/routes.py; Dihya/backend/django/routes/hotellerie; Dihya/backend/django/routes/hotellerie/routes.py; Dihya/backend/flask/tests/integration/hotellerie; Dihya/backend/flask/tests/integration/hotellerie/test_hotellerie_flask.py; Dihya/backend/flask/app/tests/integration/hotellerie; Dihya/backend/flask/app/tests/integration/hotellerie/test_hotellerie_flask.py; Dihya/backend/flask/app/templates/hotellerie; Dihya/backend/flask/app/templates/hotellerie/template.py; Dihya/backend/flask/app/routes/hotellerie; Dihya/backend/flask/app/routes/hotellerie/routes.py; Dihya/backend/flask/routes/hotellerie; Dihya/backend/flask/routes/hotellerie/routes.py; Dihya/backend/routes/hotellerie; Dihya/backend/routes/hotellerie/routes.py; Dihya/backend/node/tests/integration/hotellerie; Dihya/backend/node/tests/integration/hotellerie/test_hotellerie.js; Dihya/backend/node/app/tests/integration/hotellerie; Dihya/backend/node/app/tests/integration/hotellerie/test_hotellerie.js; Dihya/backend/node/app/templates/hotellerie; Dihya/backend/node/app/templates/hotellerie/template.js; Dihya/backend/node/app/routes/hotellerie; Dihya/backend/node/app/routes/hotellerie/routes.js; Dihya/backend/node/routes/hotellerie; Dihya/backend/node/routes/hotellerie/routes.js; Dihya/docs/metiers/hotellerie.md; src/components/metiers/hotellerie; src/components/metiers/hotellerie/index.js; src/generation/templates/hotellerie; src/generation/templates/hotellerie/template.js; docs/metiers/hotellerie.md
i18n,oui,non,"dossier,template",Dihya/frontend/src/generation/templates/i18n; Dihya/frontend/src/generation/templates/i18n/template.js; Dihya/backend/flask/app/templates/health/frontend/i18n
immobilier,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/immobilier; Dihya/frontend/src/components/metiers/immobilier/index.js; Dihya/frontend/src/tests/integration/immobilier; Dihya/frontend/src/tests/integration/immobilier/test_immobilier.js; Dihya/frontend/src/generation/templates/immobilier; Dihya/frontend/src/generation/templates/immobilier/template.js; Dihya/backend/tests/integration/immobilier; Dihya/backend/tests/integration/immobilier/test_immobilier_backend.py; Dihya/backend/django/tests/integration/immobilier; Dihya/backend/django/tests/integration/immobilier/test_immobilier_django.py; Dihya/backend/django/app/tests/integration/immobilier; Dihya/backend/django/app/tests/integration/immobilier/test_immobilier_django.py; Dihya/backend/django/app/templates/immobilier; Dihya/backend/django/app/templates/immobilier/template.py; Dihya/backend/django/app/routes/immobilier; Dihya/backend/django/app/routes/immobilier/routes.py; Dihya/backend/django/routes/immobilier; Dihya/backend/django/routes/immobilier/routes.py; Dihya/backend/flask/tests/integration/immobilier; Dihya/backend/flask/tests/integration/immobilier/test_immobilier_flask.py; Dihya/backend/flask/app/tests/integration/immobilier; Dihya/backend/flask/app/tests/integration/immobilier/test_immobilier_flask.py; Dihya/backend/flask/app/templates/immobilier; Dihya/backend/flask/app/templates/immobilier/template.py; Dihya/backend/flask/app/routes/immobilier; Dihya/backend/flask/app/routes/immobilier/routes.py; Dihya/backend/flask/routes/immobilier; Dihya/backend/flask/routes/immobilier/routes.py; Dihya/backend/routes/immobilier; Dihya/backend/routes/immobilier/routes.py; Dihya/backend/node/tests/integration/immobilier; Dihya/backend/node/tests/integration/immobilier/test_immobilier.js; Dihya/backend/node/app/tests/integration/immobilier; Dihya/backend/node/app/tests/integration/immobilier/test_immobilier.js; Dihya/backend/node/app/templates/immobilier; Dihya/backend/node/app/templates/immobilier/template.js; Dihya/backend/node/app/routes/immobilier; Dihya/backend/node/app/routes/immobilier/routes.js; Dihya/backend/node/routes/immobilier; Dihya/backend/node/routes/immobilier/routes.js; Dihya/docs/metiers/immobilier.md; docs/metiers/immobilier.md
industrie,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/industrie; Dihya/frontend/src/components/metiers/industrie/index.js; Dihya/frontend/src/tests/integration/industrie; Dihya/frontend/src/tests/integration/industrie/test_industrie.js; Dihya/frontend/src/generation/templates/industrie; Dihya/frontend/src/generation/templates/industrie/template.js; Dihya/backend/tests/integration/industrie; Dihya/backend/tests/integration/industrie/test_industrie_backend.py; Dihya/backend/django/tests/integration/industrie; Dihya/backend/django/tests/integration/industrie/test_industrie_django.py; Dihya/backend/django/app/tests/integration/industrie; Dihya/backend/django/app/tests/integration/industrie/test_industrie_django.py; Dihya/backend/django/app/templates/industrie; Dihya/backend/django/app/templates/industrie/template.py; Dihya/backend/django/app/routes/industrie; Dihya/backend/django/app/routes/industrie/routes.py; Dihya/backend/django/routes/industrie; Dihya/backend/django/routes/industrie/routes.py; Dihya/backend/flask/tests/integration/industrie; Dihya/backend/flask/tests/integration/industrie/test_industrie_flask.py; Dihya/backend/flask/app/tests/integration/industrie; Dihya/backend/flask/app/tests/integration/industrie/test_industrie_flask.py; Dihya/backend/flask/app/templates/industrie; Dihya/backend/flask/app/templates/industrie/template.py; Dihya/backend/flask/app/routes/industrie; Dihya/backend/flask/app/routes/industrie/routes.py; Dihya/backend/flask/routes/industrie; Dihya/backend/flask/routes/industrie/routes.py; Dihya/backend/routes/industrie; Dihya/backend/routes/industrie/routes.py; Dihya/backend/node/tests/integration/industrie; Dihya/backend/node/tests/integration/industrie/test_industrie.js; Dihya/backend/node/app/tests/integration/industrie; Dihya/backend/node/app/tests/integration/industrie/test_industrie.js; Dihya/backend/node/app/templates/industrie; Dihya/backend/node/app/templates/industrie/template.js; Dihya/backend/node/app/routes/industrie; Dihya/backend/node/app/routes/industrie/routes.js; Dihya/backend/node/routes/industrie; Dihya/backend/node/routes/industrie/routes.js; Dihya/docs/metiers/industrie.md; docs/metiers/industrie.md
intelligence_artificielle,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/intelligence_artificielle; Dihya/frontend/src/components/metiers/intelligence_artificielle/index.js; Dihya/frontend/src/tests/integration/intelligence_artificielle; Dihya/frontend/src/tests/integration/intelligence_artificielle/test_intelligence_artificielle.js; Dihya/frontend/src/generation/templates/intelligence_artificielle; Dihya/frontend/src/generation/templates/intelligence_artificielle/template.js; Dihya/backend/tests/integration/intelligence_artificielle; Dihya/backend/tests/integration/intelligence_artificielle/test_intelligence_artificielle_backend.py; Dihya/backend/django/tests/integration/intelligence_artificielle; Dihya/backend/django/tests/integration/intelligence_artificielle/test_intelligence_artificielle_django.py; Dihya/backend/django/app/tests/integration/intelligence_artificielle; Dihya/backend/django/app/tests/integration/intelligence_artificielle/test_intelligence_artificielle_django.py; Dihya/backend/django/app/templates/intelligence_artificielle; Dihya/backend/django/app/templates/intelligence_artificielle/template.py; Dihya/backend/django/app/routes/intelligence_artificielle; Dihya/backend/django/app/routes/intelligence_artificielle/routes.py; Dihya/backend/django/routes/intelligence_artificielle; Dihya/backend/django/routes/intelligence_artificielle/routes.py; Dihya/backend/flask/tests/integration/intelligence_artificielle; Dihya/backend/flask/tests/integration/intelligence_artificielle/test_intelligence_artificielle_flask.py; Dihya/backend/flask/app/tests/integration/intelligence_artificielle; Dihya/backend/flask/app/tests/integration/intelligence_artificielle/test_intelligence_artificielle_flask.py; Dihya/backend/flask/app/templates/intelligence_artificielle; Dihya/backend/flask/app/templates/intelligence_artificielle/template.py; Dihya/backend/flask/app/routes/intelligence_artificielle; Dihya/backend/flask/app/routes/intelligence_artificielle/routes.py; Dihya/backend/flask/routes/intelligence_artificielle; Dihya/backend/flask/routes/intelligence_artificielle/routes.py; Dihya/backend/routes/intelligence_artificielle; Dihya/backend/routes/intelligence_artificielle/routes.py; Dihya/backend/node/tests/integration/intelligence_artificielle; Dihya/backend/node/tests/integration/intelligence_artificielle/test_intelligence_artificielle.js; Dihya/backend/node/app/tests/integration/intelligence_artificielle; Dihya/backend/node/app/tests/integration/intelligence_artificielle/test_intelligence_artificielle.js; Dihya/backend/node/app/templates/intelligence_artificielle; Dihya/backend/node/app/templates/intelligence_artificielle/template.js; Dihya/backend/node/app/routes/intelligence_artificielle; Dihya/backend/node/app/routes/intelligence_artificielle/routes.js; Dihya/backend/node/routes/intelligence_artificielle; Dihya/backend/node/routes/intelligence_artificielle/routes.js; Dihya/docs/metiers/intelligence_artificielle.md; docs/metiers/intelligence_artificielle.md
it_devops,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/it_devops; Dihya/frontend/src/components/metiers/it_devops/index.js; Dihya/frontend/src/tests/integration/it_devops; Dihya/frontend/src/tests/integration/it_devops/test_it_devops.js; Dihya/frontend/src/generation/templates/it_devops; Dihya/frontend/src/generation/templates/it_devops/template.js; Dihya/backend/tests/integration/it_devops; Dihya/backend/tests/integration/it_devops/test_it_devops_backend.py; Dihya/backend/django/tests/integration/it_devops; Dihya/backend/django/tests/integration/it_devops/test_it_devops_django.py; Dihya/backend/django/app/tests/integration/it_devops; Dihya/backend/django/app/tests/integration/it_devops/test_it_devops_django.py; Dihya/backend/django/app/templates/it_devops; Dihya/backend/django/app/templates/it_devops/template.py; Dihya/backend/django/app/routes/it_devops; Dihya/backend/django/app/routes/it_devops/routes.py; Dihya/backend/django/routes/it_devops; Dihya/backend/django/routes/it_devops/routes.py; Dihya/backend/flask/tests/integration/it_devops; Dihya/backend/flask/tests/integration/it_devops/test_it_devops_flask.py; Dihya/backend/flask/app/tests/integration/it_devops; Dihya/backend/flask/app/tests/integration/it_devops/test_it_devops_flask.py; Dihya/backend/flask/app/templates/it_devops; Dihya/backend/flask/app/templates/it_devops/template.py; Dihya/backend/flask/app/routes/it_devops; Dihya/backend/flask/app/routes/it_devops/routes.py; Dihya/backend/flask/routes/it_devops; Dihya/backend/flask/routes/it_devops/routes.py; Dihya/backend/routes/it_devops; Dihya/backend/routes/it_devops/routes.py; Dihya/backend/node/tests/integration/it_devops; Dihya/backend/node/tests/integration/it_devops/test_it_devops.js; Dihya/backend/node/app/tests/integration/it_devops; Dihya/backend/node/app/tests/integration/it_devops/test_it_devops.js; Dihya/backend/node/app/templates/it_devops; Dihya/backend/node/app/templates/it_devops/template.js; Dihya/backend/node/app/routes/it_devops; Dihya/backend/node/app/routes/it_devops/routes.js; Dihya/backend/node/routes/it_devops; Dihya/backend/node/routes/it_devops/routes.js; Dihya/docs/metiers/it_devops.md; docs/metiers/it_devops.md
