metier,present,dans_cdc,types,chemins
arts,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/arts; Dihya/frontend/src/components/metiers/arts/index.js; Dihya/frontend/src/tests/integration/arts; Dihya/frontend/src/tests/integration/arts/test_arts.js; Dihya/frontend/src/generation/templates/arts; Dihya/frontend/src/generation/templates/arts/template.js; Dihya/backend/tests/integration/arts; Dihya/backend/tests/integration/arts/test_arts_backend.py; Dihya/backend/django/tests/integration/arts; Dihya/backend/django/tests/integration/arts/test_arts_django.py; Dihya/backend/django/app/tests/integration/arts; Dihya/backend/django/app/tests/integration/arts/test_arts_django.py; Dihya/backend/django/app/templates/arts; Dihya/backend/django/app/templates/arts/template.py; Dihya/backend/django/app/routes/arts; Dihya/backend/django/app/routes/arts/routes.py; Dihya/backend/django/routes/arts; Dihya/backend/django/routes/arts/routes.py; Dihya/backend/flask/tests/integration/arts; Dihya/backend/flask/tests/integration/arts/test_arts_flask.py; Dihya/backend/flask/app/tests/integration/arts; Dihya/backend/flask/app/tests/integration/arts/test_arts_flask.py; Dihya/backend/flask/app/templates/arts; Dihya/backend/flask/app/templates/arts/template.py; Dihya/backend/flask/app/routes/arts; Dihya/backend/flask/app/routes/arts/routes.py; Dihya/backend/flask/routes/arts; Dihya/backend/flask/routes/arts/routes.py; Dihya/backend/routes/arts; Dihya/backend/routes/arts/routes.py; Dihya/backend/node/tests/integration/arts; Dihya/backend/node/tests/integration/arts/test_arts.js; Dihya/backend/node/app/tests/integration/arts; Dihya/backend/node/app/tests/integration/arts/test_arts.js; Dihya/backend/node/app/templates/arts; Dihya/backend/node/app/templates/arts/template.js; Dihya/backend/node/app/routes/arts; Dihya/backend/node/app/routes/arts/routes.js; Dihya/backend/node/routes/arts; Dihya/backend/node/routes/arts/routes.js; Dihya/docs/metiers/arts.md; src/components/metiers/arts; src/generation/templates/arts; src/generation/templates/arts/template.js; docs/metiers/arts.md
assets,oui,non,dossier,Dihya/backend/django/app/routes/social/assets; Dihya/backend/django/app/routes/voyage/assets; Dihya/backend/django/app/routes/vr_ar/assets; Dihya/backend/django/app/routes/services_personne/assets; Dihya/backend/django/app/routes/voice/assets; Dihya/backend/django/app/routes/tourisme/assets; Dihya/backend/django/app/routes/sport/assets; Dihya/backend/django/app/routes/transport/assets
assurance,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/assurance; Dihya/frontend/src/components/metiers/assurance/index.js; Dihya/frontend/src/tests/integration/assurance; Dihya/frontend/src/tests/integration/assurance/test_assurance.js; Dihya/frontend/src/generation/templates/assurance; Dihya/frontend/src/generation/templates/assurance/template.js; Dihya/backend/tests/integration/assurance; Dihya/backend/tests/integration/assurance/test_assurance_backend.py; Dihya/backend/django/tests/integration/assurance; Dihya/backend/django/tests/integration/assurance/test_assurance_django.py; Dihya/backend/django/app/tests/integration/assurance; Dihya/backend/django/app/tests/integration/assurance/test_assurance_django.py; Dihya/backend/django/app/templates/assurance; Dihya/backend/django/app/templates/assurance/template.py; Dihya/backend/django/app/routes/assurance; Dihya/backend/django/app/routes/assurance/routes.py; Dihya/backend/django/routes/assurance; Dihya/backend/django/routes/assurance/routes.py; Dihya/backend/flask/tests/integration/assurance; Dihya/backend/flask/tests/integration/assurance/test_assurance_flask.py; Dihya/backend/flask/app/tests/integration/assurance; Dihya/backend/flask/app/tests/integration/assurance/test_assurance_flask.py; Dihya/backend/flask/app/templates/assurance; Dihya/backend/flask/app/templates/assurance/template.py; Dihya/backend/flask/app/routes/assurance; Dihya/backend/flask/app/routes/assurance/routes.py; Dihya/backend/flask/routes/assurance; Dihya/backend/flask/routes/assurance/routes.py; Dihya/backend/routes/assurance; Dihya/backend/routes/assurance/routes.py; Dihya/backend/node/tests/integration/assurance; Dihya/backend/node/tests/integration/assurance/test_assurance.js; Dihya/backend/node/app/tests/integration/assurance; Dihya/backend/node/app/tests/integration/assurance/test_assurance.js; Dihya/backend/node/app/templates/assurance; Dihya/backend/node/app/templates/assurance/template.js; Dihya/backend/node/app/routes/assurance; Dihya/backend/node/app/routes/assurance/routes.js; Dihya/backend/node/routes/assurance; Dihya/backend/node/routes/assurance/routes.js; Dihya/docs/metiers/assurance.md; src/components/metiers/assurance; src/components/metiers/assurance/index.js; src/generation/templates/assurance; src/generation/templates/assurance/template.js; docs/metiers/assurance.md
automobile,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/automobile; Dihya/frontend/src/components/metiers/automobile/index.js; Dihya/frontend/src/tests/integration/automobile; Dihya/frontend/src/tests/integration/automobile/test_automobile.js; Dihya/frontend/src/generation/templates/automobile; Dihya/frontend/src/generation/templates/automobile/template.js; Dihya/backend/tests/integration/automobile; Dihya/backend/tests/integration/automobile/test_automobile_backend.py; Dihya/backend/django/tests/integration/automobile; Dihya/backend/django/tests/integration/automobile/test_automobile_django.py; Dihya/backend/django/app/tests/integration/automobile; Dihya/backend/django/app/tests/integration/automobile/test_automobile_django.py; Dihya/backend/django/app/templates/automobile; Dihya/backend/django/app/templates/automobile/template.py; Dihya/backend/django/app/routes/automobile; Dihya/backend/django/app/routes/automobile/routes.py; Dihya/backend/django/routes/automobile; Dihya/backend/django/routes/automobile/routes.py; Dihya/backend/flask/tests/integration/automobile; Dihya/backend/flask/tests/integration/automobile/test_automobile_flask.py; Dihya/backend/flask/app/tests/integration/automobile; Dihya/backend/flask/app/tests/integration/automobile/test_automobile_flask.py; Dihya/backend/flask/app/templates/automobile; Dihya/backend/flask/app/templates/automobile/template.py; Dihya/backend/flask/app/routes/automobile; Dihya/backend/flask/app/routes/automobile/routes.py; Dihya/backend/flask/routes/automobile; Dihya/backend/flask/routes/automobile/routes.py; Dihya/backend/routes/automobile; Dihya/backend/routes/automobile/routes.py; Dihya/backend/node/tests/integration/automobile; Dihya/backend/node/tests/integration/automobile/test_automobile.js; Dihya/backend/node/app/tests/integration/automobile; Dihya/backend/node/app/tests/integration/automobile/test_automobile.js; Dihya/backend/node/app/templates/automobile; Dihya/backend/node/app/templates/automobile/template.js; Dihya/backend/node/app/routes/automobile; Dihya/backend/node/app/routes/automobile/routes.js; Dihya/backend/node/routes/automobile; Dihya/backend/node/routes/automobile/routes.js; Dihya/docs/metiers/automobile.md; docs/metiers/automobile.md
backend,oui,non,dossier,Dihya/backend/flask/app/templates/health/backend
banque_finance,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/banque_finance; Dihya/frontend/src/components/metiers/banque_finance/index.js; Dihya/frontend/src/tests/integration/banque_finance; Dihya/frontend/src/tests/integration/banque_finance/test_banque_finance.js; Dihya/frontend/src/generation/templates/banque_finance; Dihya/frontend/src/generation/templates/banque_finance/template.js; Dihya/backend/tests/integration/banque_finance; Dihya/backend/tests/integration/banque_finance/test_banque_finance_backend.py; Dihya/backend/django/tests/integration/banque_finance; Dihya/backend/django/tests/integration/banque_finance/test_banque_finance_django.py; Dihya/backend/django/app/tests/integration/banque_finance; Dihya/backend/django/app/tests/integration/banque_finance/test_banque_finance_django.py; Dihya/backend/django/app/templates/banque_finance; Dihya/backend/django/app/templates/banque_finance/template.py; Dihya/backend/django/app/routes/banque_finance; Dihya/backend/django/app/routes/banque_finance/routes.py; Dihya/backend/django/routes/banque_finance; Dihya/backend/django/routes/banque_finance/routes.py; Dihya/backend/flask/tests/integration/banque_finance; Dihya/backend/flask/tests/integration/banque_finance/test_banque_finance_flask.py; Dihya/backend/flask/app/tests/integration/banque_finance; Dihya/backend/flask/app/tests/integration/banque_finance/test_banque_finance_flask.py; Dihya/backend/flask/app/templates/banque_finance; Dihya/backend/flask/app/templates/banque_finance/template.py; Dihya/backend/flask/app/routes/banque_finance; Dihya/backend/flask/app/routes/banque_finance/routes.py; Dihya/backend/flask/routes/banque_finance; Dihya/backend/flask/routes/banque_finance/routes.py; Dihya/backend/routes/banque_finance; Dihya/backend/routes/banque_finance/routes.py; Dihya/backend/node/tests/integration/banque_finance; Dihya/backend/node/tests/integration/banque_finance/test_banque_finance.js; Dihya/backend/node/app/tests/integration/banque_finance; Dihya/backend/node/app/tests/integration/banque_finance/test_banque_finance.js; Dihya/backend/node/app/templates/banque_finance; Dihya/backend/node/app/templates/banque_finance/template.js; Dihya/backend/node/app/routes/banque_finance; Dihya/backend/node/app/routes/banque_finance/routes.js; Dihya/backend/node/routes/banque_finance; Dihya/backend/node/routes/banque_finance/routes.js; Dihya/docs/metiers/banque_finance.md; src/components/metiers/banque_finance; src/components/metiers/banque_finance/index.js; src/generation/templates/banque_finance; src/generation/templates/banque_finance/template.js; docs/metiers/banque_finance.md
beaute,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/beaute; Dihya/frontend/src/components/metiers/beaute/index.js; Dihya/frontend/src/tests/integration/beaute; Dihya/frontend/src/tests/integration/beaute/test_beaute.js; Dihya/frontend/src/generation/templates/beaute; Dihya/frontend/src/generation/templates/beaute/template.js; Dihya/backend/tests/integration/beaute; Dihya/backend/tests/integration/beaute/test_beaute_backend.py; Dihya/backend/django/tests/integration/beaute; Dihya/backend/django/tests/integration/beaute/test_beaute_django.py; Dihya/backend/django/app/tests/integration/beaute; Dihya/backend/django/app/tests/integration/beaute/test_beaute_django.py; Dihya/backend/django/app/templates/beaute; Dihya/backend/django/app/templates/beaute/template.py; Dihya/backend/django/app/routes/beaute; Dihya/backend/django/app/routes/beaute/routes.py; Dihya/backend/django/routes/beaute; Dihya/backend/django/routes/beaute/routes.py; Dihya/backend/flask/tests/integration/beaute; Dihya/backend/flask/tests/integration/beaute/test_beaute_flask.py; Dihya/backend/flask/app/tests/integration/beaute; Dihya/backend/flask/app/tests/integration/beaute/test_beaute_flask.py; Dihya/backend/flask/app/templates/beaute; Dihya/backend/flask/app/templates/beaute/template.py; Dihya/backend/flask/app/routes/beaute; Dihya/backend/flask/app/routes/beaute/routes.py; Dihya/backend/flask/routes/beaute; Dihya/backend/flask/routes/beaute/routes.py; Dihya/backend/routes/beaute; Dihya/backend/routes/beaute/routes.py; Dihya/backend/node/tests/integration/beaute; Dihya/backend/node/tests/integration/beaute/test_beaute.js; Dihya/backend/node/app/tests/integration/beaute; Dihya/backend/node/app/tests/integration/beaute/test_beaute.js; Dihya/backend/node/app/templates/beaute; Dihya/backend/node/app/templates/beaute/template.js; Dihya/backend/node/app/routes/beaute; Dihya/backend/node/app/routes/beaute/routes.js; Dihya/backend/node/routes/beaute; Dihya/backend/node/routes/beaute/routes.js; Dihya/docs/metiers/beaute.md; src/components/metiers/beaute; src/components/metiers/beaute/index.js; src/generation/templates/beaute; src/generation/templates/beaute/template.js; docs/metiers/beaute.md
blockchain,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/blockchain; Dihya/frontend/src/components/metiers/blockchain/index.js; Dihya/frontend/src/tests/integration/blockchain; Dihya/frontend/src/tests/integration/blockchain/test_blockchain.js; Dihya/frontend/src/generation/templates/blockchain; Dihya/frontend/src/generation/templates/blockchain/template.js; Dihya/backend/tests/integration/blockchain; Dihya/backend/tests/integration/blockchain/test_blockchain_backend.py; Dihya/backend/django/tests/integration/blockchain; Dihya/backend/django/tests/integration/blockchain/test_blockchain_django.py; Dihya/backend/django/app/tests/integration/blockchain; Dihya/backend/django/app/tests/integration/blockchain/test_blockchain_django.py; Dihya/backend/django/app/templates/blockchain; Dihya/backend/django/app/templates/blockchain/template.py; Dihya/backend/django/app/routes/blockchain; Dihya/backend/django/app/routes/blockchain/routes.py; Dihya/backend/django/routes/blockchain; Dihya/backend/django/routes/blockchain/routes.py; Dihya/backend/flask/tests/integration/blockchain; Dihya/backend/flask/tests/integration/blockchain/test_blockchain_flask.py; Dihya/backend/flask/app/tests/integration/blockchain; Dihya/backend/flask/app/tests/integration/blockchain/test_blockchain_flask.py; Dihya/backend/flask/app/templates/blockchain; Dihya/backend/flask/app/templates/blockchain/template.py; Dihya/backend/flask/app/routes/blockchain; Dihya/backend/flask/app/routes/blockchain/routes.py; Dihya/backend/flask/routes/blockchain; Dihya/backend/flask/routes/blockchain/routes.py; Dihya/backend/routes/blockchain; Dihya/backend/routes/blockchain/routes.py; Dihya/backend/node/tests/integration/blockchain; Dihya/backend/node/tests/integration/blockchain/test_blockchain.js; Dihya/backend/node/app/tests/integration/blockchain; Dihya/backend/node/app/tests/integration/blockchain/test_blockchain.js; Dihya/backend/node/app/templates/blockchain; Dihya/backend/node/app/templates/blockchain/template.js; Dihya/backend/node/app/routes/blockchain; Dihya/backend/node/app/routes/blockchain/routes.js; Dihya/backend/node/routes/blockchain; Dihya/backend/node/routes/blockchain/routes.js; Dihya/docs/metiers/blockchain.md; src/components/metiers/blockchain; src/components/metiers/blockchain/index.js; src/generation/templates/blockchain; src/generation/templates/blockchain/template.js; docs/metiers/blockchain.md
btp,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/btp; Dihya/frontend/src/components/metiers/btp/index.js; Dihya/frontend/src/tests/integration/btp; Dihya/frontend/src/tests/integration/btp/test_btp.js; Dihya/frontend/src/generation/templates/btp; Dihya/frontend/src/generation/templates/btp/template.js; Dihya/backend/tests/integration/btp; Dihya/backend/tests/integration/btp/test_btp_backend.py; Dihya/backend/django/tests/integration/btp; Dihya/backend/django/tests/integration/btp/test_btp_django.py; Dihya/backend/django/app/tests/integration/btp; Dihya/backend/django/app/tests/integration/btp/test_btp_django.py; Dihya/backend/django/app/templates/btp; Dihya/backend/django/app/templates/btp/template.py; Dihya/backend/django/app/routes/btp; Dihya/backend/django/app/routes/btp/routes.py; Dihya/backend/django/routes/btp; Dihya/backend/django/routes/btp/routes.py; Dihya/backend/flask/tests/integration/btp; Dihya/backend/flask/tests/integration/btp/test_btp_flask.py; Dihya/backend/flask/app/tests/integration/btp; Dihya/backend/flask/app/tests/integration/btp/test_btp_flask.py; Dihya/backend/flask/app/templates/btp; Dihya/backend/flask/app/templates/btp/template.py; Dihya/backend/flask/app/routes/btp; Dihya/backend/flask/app/routes/btp/routes.py; Dihya/backend/flask/routes/btp; Dihya/backend/flask/routes/btp/routes.py; Dihya/backend/routes/btp; Dihya/backend/routes/btp/routes.py; Dihya/backend/node/tests/integration/btp; Dihya/backend/node/tests/integration/btp/test_btp.js; Dihya/backend/node/app/tests/integration/btp; Dihya/backend/node/app/tests/integration/btp/test_btp.js; Dihya/backend/node/app/templates/btp; Dihya/backend/node/app/templates/btp/template.js; Dihya/backend/node/app/routes/btp; Dihya/backend/node/app/routes/btp/routes.js; Dihya/backend/node/routes/btp; Dihya/backend/node/routes/btp/routes.js; Dihya/docs/metiers/btp.md; src/components/metiers/btp; src/components/metiers/btp/index.js; src/generation/templates/btp; src/generation/templates/btp/template.js; docs/metiers/btp.md
cahier_des_charges,non,oui,,
cms,oui,non,"dossier,plugin",Dihya/frontend/src/plugins/cms; Dihya/frontend/src/plugins/cms/cmsPlugin.js; Dihya/frontend/src/plugins/cms/README.md
compliance,oui,non,dossier,Dihya/backend/django/app/routes/compliance
components,oui,non,dossier,Dihya/backend/flask/app/templates/health/frontend/components
construction,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/construction; Dihya/frontend/src/components/metiers/construction/index.js; Dihya/frontend/src/tests/integration/construction; Dihya/frontend/src/tests/integration/construction/test_construction.js; Dihya/frontend/src/generation/templates/construction; Dihya/frontend/src/generation/templates/construction/template.js; Dihya/backend/tests/integration/construction; Dihya/backend/tests/integration/construction/test_construction_backend.py; Dihya/backend/django/tests/integration/construction; Dihya/backend/django/tests/integration/construction/test_construction_django.py; Dihya/backend/django/app/tests/integration/construction; Dihya/backend/django/app/tests/integration/construction/test_construction_django.py; Dihya/backend/django/app/templates/construction; Dihya/backend/django/app/templates/construction/template.py; Dihya/backend/django/app/routes/construction; Dihya/backend/django/app/routes/construction/routes.py; Dihya/backend/django/routes/construction; Dihya/backend/django/routes/construction/routes.py; Dihya/backend/flask/tests/integration/construction; Dihya/backend/flask/tests/integration/construction/test_construction_flask.py; Dihya/backend/flask/app/tests/integration/construction; Dihya/backend/flask/app/tests/integration/construction/test_construction_flask.py; Dihya/backend/flask/app/templates/construction; Dihya/backend/flask/app/templates/construction/template.py; Dihya/backend/flask/app/routes/construction; Dihya/backend/flask/app/routes/construction/routes.py; Dihya/backend/flask/routes/construction; Dihya/backend/flask/routes/construction/routes.py; Dihya/backend/routes/construction; Dihya/backend/routes/construction/routes.py; Dihya/backend/node/tests/integration/construction; Dihya/backend/node/tests/integration/construction/test_construction.js; Dihya/backend/node/app/tests/integration/construction; Dihya/backend/node/app/tests/integration/construction/test_construction.js; Dihya/backend/node/app/templates/construction; Dihya/backend/node/app/templates/construction/template.js; Dihya/backend/node/app/routes/construction; Dihya/backend/node/app/routes/construction/routes.js; Dihya/backend/node/routes/construction; Dihya/backend/node/routes/construction/routes.js; Dihya/docs/metiers/construction.md; src/components/metiers/construction; src/components/metiers/construction/index.js; src/generation/templates/construction; src/generation/templates/construction/template.js; docs/metiers/construction.md
